x y error 
# 0 73.24 1.74 
0.07 69 19.6 
0.1 69 12 
0.12 68.6 26.2 
0.17 83 8 
0.1791 75 4 
0.1993 75 5 
0.20 72.9 29.6
0.24 82.37 3.94 
0.27 77 14 
0.28 88.8 36.6 
0.3 78.83 6.58
0.31 78.39 5.46 
0.35 88.10 9.45 
0.3519 83 14
0.36 80.16 4.37
0.38 81.74 3.40
0.3802 83 13.5 
0.4 95 17 
0.4004 77 10.2 
0.4247 87.1 11.2 
0.43 89.36 4.89 
0.44 85.48 8.59 
0.4497 92.8 12.9
0.47 89 34
0.4783 80.9 9 
0.48 97 62
0.51 90.67 3.66
0.52 94.61 4.20
0.56 93.59 3.96 
0.57 96.59 8.76 
0.59 98.75 4.66
0.5929 104 13 
0.6 90.96 7.04
0.61 97.59 3.97
0.64 99.09 4.53
0.6797 92 8
0.73 100.69 8.03 
0.7812 105 12 
0.8754 125 17 
0.88 90 40 
0.9 117 23 
1.037 154 20 
1.3 168 17 
1.363 160 33.6 
1.43 177 18 
1.53 140 14 
1.75 202 40 
1.965 186.5 50.4 
2.33 223.99 11.12
2.34 222.10 10.38 
2.36 226.24 11.18
